mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_learning_rate,param_max_depth,param_n_estimators,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.039385223388671876,0.002905818453480968,0.007264566421508789,0.0003767511298697706,0.8,0.01,3,100,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100, 'subsample': 0.8}",0.5714285714285714,0.4444444444444444,0.75,0.3333333333333333,0.8,0.5798412698412699,0.17697067355799856,26
0.045490264892578125,0.001979729547980303,0.007329463958740234,0.0011755941886434488,0.8,0.01,3,100,0.9,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100, 'subsample': 0.9}",0.5714285714285714,0.4444444444444444,0.8571428571428571,0.5714285714285714,0.8,0.6488888888888888,0.15492063492063493,2
0.11595873832702637,0.004942660349664666,0.008223915100097656,0.00039019746942053294,0.8,0.01,3,300,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 300, 'subsample': 0.8}",0.4444444444444444,0.4444444444444444,0.8571428571428571,0.3333333333333333,0.8,0.575873015873016,0.21105357850734457,28
0.1408682346343994,0.018810628129916178,0.008222293853759766,0.001182487099308035,0.8,0.01,3,300,0.9,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 300, 'subsample': 0.9}",0.4444444444444444,0.4444444444444444,0.8571428571428571,0.5,0.8888888888888888,0.626984126984127,0.20215518063406943,6
0.05949277877807617,0.005145574452013418,0.008034324645996094,0.0011293925447746476,0.8,0.01,4,100,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 4, 'n_estimators': 100, 'subsample': 0.8}",0.5714285714285714,0.4444444444444444,0.8571428571428571,0.4,0.8888888888888888,0.6323809523809524,0.2046218297798995,4
0.05964860916137695,0.007297442432608359,0.008471298217773437,0.0006387452997144247,0.8,0.01,4,100,0.9,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 4, 'n_estimators': 100, 'subsample': 0.9}",0.5714285714285714,0.4444444444444444,0.8571428571428571,0.3333333333333333,0.8888888888888888,0.6190476190476191,0.2208574873768392,7
0.14445576667785645,0.014504098248455949,0.007907581329345704,0.0010465889063152147,0.8,0.01,4,300,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 4, 'n_estimators': 300, 'subsample': 0.8}",0.4444444444444444,0.4444444444444444,0.8571428571428571,0.3333333333333333,0.8,0.575873015873016,0.21105357850734457,28
0.13617343902587892,0.014915098068839316,0.007888221740722656,0.0012936665710172315,0.8,0.01,4,300,0.9,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 4, 'n_estimators': 300, 'subsample': 0.9}",0.4444444444444444,0.4444444444444444,0.8571428571428571,0.2857142857142857,0.8888888888888888,0.584126984126984,0.2431008218295447,21
0.06897540092468261,0.014444710385484408,0.008611202239990234,0.00045131131926446944,0.8,0.01,6,100,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 6, 'n_estimators': 100, 'subsample': 0.8}",0.5714285714285714,0.4444444444444444,0.8571428571428571,0.4,0.8888888888888888,0.6323809523809524,0.2046218297798995,4
0.07475881576538086,0.012972413113047462,0.008444404602050782,0.0013270195515288246,0.8,0.01,6,100,0.9,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 6, 'n_estimators': 100, 'subsample': 0.9}",0.5714285714285714,0.4444444444444444,0.8571428571428571,0.3333333333333333,0.8888888888888888,0.6190476190476191,0.2208574873768392,7
