dataset,model,cv_accuracy_mean,cv_accuracy_std,cv_balanced_accuracy_mean,cv_balanced_accuracy_std,cv_precision_mean,cv_precision_std,cv_recall_mean,cv_recall_std,cv_f1_mean,cv_f1_std,cv_roc_auc_mean,cv_roc_auc_std,test_accuracy,test_balanced_accuracy,test_precision,test_recall,test_f1,test_roc_auc,best_cv_score,best_params,seed,experiment
transfer,xgboost,0.7699999999999999,0.20733762053445318,0.7625,0.2274938949119783,0.65,0.32871804872193366,0.75,0.33541019662496846,0.6866666666666668,0.3208322510804257,0.7791666666666667,0.29406749980989816,0.7142857142857143,0.6444444444444444,0.6666666666666666,0.4,0.5,0.7111111111111111,0.6866666666666668,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 300, 'subsample': 0.8}",123,real
transfer,voting_tuned,0.6466666666666666,0.16,0.6041666666666666,0.1884236509099169,0.4833333333333333,0.3905124837953327,0.4333333333333333,0.3511884584284246,0.42333333333333334,0.31729761703766035,0.7708333333333333,0.18563891174954553,0.6428571428571429,0.5444444444444444,0.5,0.2,0.2857142857142857,0.7777777777777778,0.42333333333333334,,123,real
mid,dummy,0.6233333333333333,0.0517472489875334,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.6428571428571429,0.5,0.0,0.0,0.0,0.5,,,999,real
mid,logistic_regression,0.6666666666666666,0.2309401076758503,0.65,0.22836982676741205,0.615,0.3795062581829185,0.6,0.3741657386773941,0.5595238095238095,0.30956959368344517,0.7027777777777777,0.1632993161855452,0.7142857142857143,0.6888888888888889,0.6,0.6,0.6,0.8444444444444446,0.5595238095238095,{'model__C': 0.01},999,real
mid,random_forest,0.65,0.19958289839896937,0.65,0.19913005242247536,0.5666666666666667,0.2260776661041756,0.6333333333333333,0.24494897427831783,0.5866666666666667,0.2196967607104544,0.6875,0.22380081669992977,0.5714285714285714,0.5777777777777777,0.42857142857142855,0.6,0.5,0.5777777777777778,0.5866666666666667,"{'max_depth': None, 'min_samples_leaf': 4, 'n_estimators': 500}",999,real
mid,svm,0.6899999999999998,0.14379769740081993,0.6875,0.13469358229370512,0.5650000000000001,0.27932955446926844,0.7,0.33166247903554,0.5928571428571429,0.25095057377139124,0.7930555555555555,0.19159116870546494,0.6428571428571429,0.5888888888888889,0.5,0.4,0.4444444444444444,0.7333333333333334,0.5928571428571429,"{'model__C': 1, 'model__gamma': 'scale'}",999,real
mid,xgboost,0.7100000000000001,0.18502252115170556,0.7083333333333333,0.18633899812498247,0.65,0.2409472049133493,0.6833333333333333,0.2629955639676584,0.6433333333333333,0.2145020072426156,0.7208333333333333,0.2108596821479999,0.42857142857142855,0.4222222222222222,0.2857142857142857,0.4,0.3333333333333333,0.5777777777777778,0.6433333333333333,"{'colsample_bytree': 0.9, 'learning_rate': 0.01, 'max_depth': 4, 'n_estimators': 300, 'subsample': 0.8}",999,real
mid,voting_tuned,0.6699999999999999,0.17413277182145304,0.625,0.1707825127659933,0.5900000000000001,0.439203825119955,0.41666666666666663,0.30956959368344517,0.4538095238095238,0.3057576738236357,0.8041666666666668,0.19986974925352424,0.6428571428571429,0.5444444444444444,0.5,0.2,0.2857142857142857,0.7555555555555555,0.4538095238095238,,999,real
transfer,dummy,0.6233333333333333,0.0517472489875334,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.6428571428571429,0.5,0.0,0.0,0.0,0.5,,,999,real
transfer,logistic_regression,0.67,0.20947023124486633,0.6625,0.20365582349749894,0.615,0.30663496212923924,0.65,0.32015621187164245,0.5928571428571429,0.2509505737713913,0.7388888888888889,0.18371173070873834,0.7857142857142857,0.788888888888889,0.6666666666666666,0.8,0.7272727272727273,0.8222222222222223,0.5928571428571429,{'model__C': 0.01},999,real
transfer,random_forest,0.7433333333333333,0.12914247085207015,0.7208333333333333,0.1382555001919755,0.7166666666666666,0.23629078131263043,0.6166666666666666,0.19790570145063194,0.6433333333333333,0.16736520280844258,0.7027777777777777,0.14766704288891125,0.7142857142857143,0.6,1.0,0.2,0.3333333333333333,0.9111111111111112,0.6433333333333333,"{'max_depth': None, 'min_samples_leaf': 2, 'n_estimators': 100}",999,real
transfer,svm,0.7066666666666667,0.17435595774162696,0.6916666666666667,0.1527525231651947,0.6983333333333334,0.2658790451815763,0.65,0.22912878474779197,0.6328571428571429,0.17305380390970618,0.8125,0.14701898970314456,0.6428571428571429,0.5888888888888889,0.5,0.4,0.4444444444444444,0.7333333333333334,0.6328571428571429,"{'model__C': 1, 'model__gamma': 'scale'}",999,real
transfer,xgboost,0.6633333333333333,0.23918844267880318,0.6583333333333333,0.2406588179698942,0.6333333333333333,0.33993463423951903,0.6166666666666666,0.29860788111948194,0.5900000000000001,0.2650157228040128,0.6777777777777778,0.23877581303157336,0.42857142857142855,0.4222222222222222,0.2857142857142857,0.4,0.3333333333333333,0.6,0.5900000000000001,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 100, 'subsample': 0.8}",999,real
transfer,voting_tuned,0.7266666666666667,0.15549205052920803,0.6791666666666666,0.14439769542636213,0.7150000000000001,0.4012792045446661,0.5,0.31622776601683794,0.5428571428571429,0.27945525240230873,0.8125,0.14701898970314456,0.7142857142857143,0.6444444444444444,0.6666666666666666,0.4,0.5,0.7777777777777778,0.5428571428571429,,999,real
