experiment,dataset,model,n_seeds,cv_f1_mean_mean,cv_f1_mean_std,test_f1_mean,test_f1_std,test_recall_mean,test_recall_std,test_precision_mean,test_precision_std,test_balanced_accuracy_mean,test_balanced_accuracy_std,best_cv_score_mean,best_cv_score_std
real,mid,logistic_regression,4,0.6260714285714286,0.03112011936314053,0.4666666666666667,0.21081851067789192,0.5,0.2581988897471611,0.44285714285714284,0.18442777839082933,0.5833333333333334,0.16165298402070516,0.6260714285714286,0.03112011936314053
real,mid,svm,4,0.6309523809523809,0.04577872442496977,0.4361111111111111,0.17005808738904407,0.44999999999999996,0.19148542155126758,0.43214285714285716,0.16998399284382412,0.5583333333333333,0.13032880229565116,0.6309523809523809,0.04577872442496977
real,mid,random_forest,4,0.6085714285714285,0.04114204878688543,0.42777777777777776,0.1855921454276674,0.4,0.16329931618554522,0.47738095238095235,0.2332968873382655,0.5472222222222223,0.19145855583081953,0.6085714285714285,0.04114204878688543
real,mid,xgboost,4,0.6366666666666667,0.05809523809523814,0.3995171495171495,0.14744217278857802,0.45,0.2516611478423584,0.40476190476190477,0.11167656571008167,0.5305555555555556,0.11013459778666118,0.6366666666666667,0.05809523809523814
real,mid,voting_tuned,4,0.48428571428571426,0.16293741639932607,0.3111111111111111,0.26480833972917744,0.3,0.2581988897471611,0.325,0.27537852736430507,0.5388888888888889,0.1322486746026454,0.48428571428571426,0.16293741639932607
real,mid,dummy,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
real,transfer,logistic_regression,4,0.621904761904762,0.020511228788758367,0.5727272727272728,0.1517573821278656,0.6,0.16329931618554522,0.5499999999999999,0.14782371884055634,0.6611111111111112,0.13099806802835104,0.621904761904762,0.020511228788758367
real,transfer,random_forest,4,0.6659523809523809,0.08124643140020572,0.5595238095238095,0.07896725691322379,0.5,0.20000000000000004,0.7261904761904762,0.1879796711480478,0.6805555555555556,0.04386192326787787,0.6659523809523809,0.08124643140020572
real,transfer,xgboost,4,0.6441666666666667,0.08693867570496647,0.4866383616383616,0.14210789210789213,0.55,0.2516611478423583,0.48214285714285715,0.03571428571428572,0.6083333333333333,0.05905636562630365,0.6441666666666667,0.08693867570496647
real,transfer,voting_tuned,4,0.5408333333333334,0.1653811534786414,0.38636363636363635,0.13956828018156625,0.35,0.19148542155126763,0.5625,0.3145764348029479,0.5638888888888889,0.08906233078822999,0.5408333333333334,0.1653811534786414
real,transfer,svm,4,0.6717857142857142,0.021992147983775624,0.3325396825396825,0.1108045657969983,0.30000000000000004,0.11547005383792516,0.4,0.14142135623730948,0.5111111111111111,0.0920726140344893,0.6717857142857142,0.021992147983775624
real,transfer,dummy,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
