mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__C,param_model__gamma,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.003778886795043945,0.0008059536489542963,0.003087615966796875,0.000737766522398271,0.1,scale,"{'model__C': 0.1, 'model__gamma': 'scale'}",0.5882352941176471,0.0,0.0,0.0,0.0,0.11764705882352941,0.23529411764705882,7
0.003201580047607422,0.0003982463501066627,0.0020064353942871095,1.506579056166522e-05,0.1,0.1,"{'model__C': 0.1, 'model__gamma': 0.1}",0.5882352941176471,0.0,0.0,0.0,0.0,0.11764705882352941,0.23529411764705882,7
0.0029864788055419924,1.7496350310743128e-05,0.0022084712982177734,0.000402951832318265,0.1,0.01,"{'model__C': 0.1, 'model__gamma': 0.01}",0.5882352941176471,0.0,0.0,0.0,0.0,0.11764705882352941,0.23529411764705882,7
0.0029919624328613283,0.0002094827314330541,0.00185394287109375,0.000304012652494537,1.0,scale,"{'model__C': 1, 'model__gamma': 'scale'}",0.6666666666666666,0.5714285714285714,0.5,0.75,0.5,0.5976190476190476,0.09770611680325328,2
0.002830696105957031,0.00020999062813026537,0.0022715091705322265,0.00037429109713390943,1.0,0.1,"{'model__C': 1, 'model__gamma': 0.1}",0.6666666666666666,0.5714285714285714,0.5,0.75,0.5,0.5976190476190476,0.09770611680325328,2
0.0027965545654296876,0.0005226999580303136,0.002273750305175781,0.0003746136444912585,1.0,0.01,"{'model__C': 1, 'model__gamma': 0.01}",0.8,0.0,0.7272727272727273,0.6666666666666666,0.6666666666666666,0.572121212121212,0.29024165859792583,4
0.003117656707763672,0.00023241116465318488,0.0021984100341796873,0.00039678764017318736,10.0,scale,"{'model__C': 10, 'model__gamma': 'scale'}",0.5,0.0,0.3333333333333333,0.5714285714285714,0.5714285714285714,0.3952380952380952,0.2159196961667549,5
0.0026558399200439452,0.00037930451072931557,0.0023972511291503905,0.0004942160179682701,10.0,0.1,"{'model__C': 10, 'model__gamma': 0.1}",0.5,0.0,0.3333333333333333,0.5714285714285714,0.5714285714285714,0.3952380952380952,0.2159196961667549,5
0.0033560752868652343,0.000530331496174819,0.002018642425537109,3.398929246846035e-05,10.0,0.01,"{'model__C': 10, 'model__gamma': 0.01}",0.8,0.5,0.6666666666666666,0.75,0.6666666666666666,0.6766666666666666,0.10198039027185571,1
