mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_min_samples_leaf,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
0.2255425214767456,0.010033958998247015,0.018212413787841795,0.004559583355521754,,1,100,"{'max_depth': None, 'min_samples_leaf': 1, 'n_estimators': 100}",0.6666666666666666,0.6666666666666666,0.8,0.6666666666666666,1.0,0.8,0.0,0.5,0.6666666666666666,0.6666666666666666,0.6433333333333333,0.2476781065101323,1
0.6933168411254883,0.03445772306168186,0.038531017303466794,0.003810170178238956,,1,300,"{'max_depth': None, 'min_samples_leaf': 1, 'n_estimators': 300}",0.6666666666666666,0.5,0.8,0.6666666666666666,1.0,0.6666666666666666,0.0,0.0,0.6666666666666666,0.6666666666666666,0.5633333333333334,0.3063948070346131,12
1.1154998779296874,0.027450452430651716,0.060289621353149414,0.0119864430665952,,1,500,"{'max_depth': None, 'min_samples_leaf': 1, 'n_estimators': 500}",0.5,0.5,0.8,0.6666666666666666,1.0,0.6666666666666666,0.0,0.0,0.6666666666666666,0.5,0.53,0.3023794525647094,16
0.23696889877319335,0.014491859407688294,0.015483260154724121,0.0033432473020207896,,2,100,"{'max_depth': None, 'min_samples_leaf': 2, 'n_estimators': 100}",0.5,0.5,0.8,0.5,1.0,0.8,0.0,0.0,0.6666666666666666,0.4,0.5166666666666667,0.31064449134018135,26
0.7960152864456177,0.16094646052704828,0.054978680610656736,0.015771831047818763,,2,300,"{'max_depth': None, 'min_samples_leaf': 2, 'n_estimators': 300}",0.5,0.5,0.8,0.6666666666666666,1.0,0.6666666666666666,0.0,0.0,0.6666666666666666,0.4,0.52,0.3048496897379647,19
1.2981830835342407,0.10484772618019524,0.08527607917785644,0.029349633965332723,,2,500,"{'max_depth': None, 'min_samples_leaf': 2, 'n_estimators': 500}",0.5,0.5,0.8,0.6666666666666666,1.0,0.6666666666666666,0.0,0.0,0.6666666666666666,0.4,0.52,0.3048496897379647,19
0.2525263547897339,0.0211874262774548,0.021679210662841796,0.005307013651993314,,4,100,"{'max_depth': None, 'min_samples_leaf': 4, 'n_estimators': 100}",0.5,0.5,0.8,0.6666666666666666,1.0,0.8,0.5,0.0,0.6666666666666666,0.4,0.5833333333333334,0.26002136664341857,9
0.7615772008895874,0.09626873138126511,0.05171725749969482,0.011547796900454606,,4,300,"{'max_depth': None, 'min_samples_leaf': 4, 'n_estimators': 300}",0.5,0.5,0.8,0.6666666666666666,1.0,0.8571428571428571,0.5,0.0,0.6666666666666666,0.4,0.5890476190476192,0.26529451396197773,3
1.4158327102661132,0.18969755667275412,0.08067800998687744,0.013135692481677733,,4,500,"{'max_depth': None, 'min_samples_leaf': 4, 'n_estimators': 500}",0.5,0.5,0.8,0.6666666666666666,1.0,0.8571428571428571,0.5,0.0,0.6666666666666666,0.4,0.5890476190476192,0.26529451396197773,3
0.2534570455551147,0.02556818009264514,0.02101426124572754,0.0067181288952516995,5,1,100,"{'max_depth': 5, 'min_samples_leaf': 1, 'n_estimators': 100}",0.6666666666666666,0.5,0.8,0.6666666666666666,1.0,0.8,0.0,0.0,0.6666666666666666,0.4,0.55,0.3159641329855864,14
