mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_learning_rate,param_max_depth,param_n_estimators,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.041946125030517575,0.0023913304346853126,0.0072787761688232425,0.0003909898556691905,0.8,0.01,3,100,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100, 'subsample': 0.8}",0.2857142857142857,0.4,0.8571428571428571,0.5714285714285714,0.6666666666666666,0.5561904761904761,0.20028098176144632,43
0.046378040313720705,0.0029913593797111318,0.007895326614379883,0.0004775834585298637,0.8,0.01,3,100,0.9,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100, 'subsample': 0.9}",0.5,0.5,0.75,0.5714285714285714,0.6666666666666666,0.5976190476190475,0.09770611680325329,13
0.12418551445007324,0.017978994403021312,0.006793689727783203,0.0010801512865263525,0.8,0.01,3,300,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 300, 'subsample': 0.8}",0.2857142857142857,0.5,0.8571428571428571,0.5714285714285714,0.6,0.562857142857143,0.1837478307521546,38
0.1213944435119629,0.013655418123671017,0.006493806838989258,0.0013881431972647062,0.8,0.01,3,300,0.9,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 300, 'subsample': 0.9}",0.2857142857142857,0.4444444444444444,0.8571428571428571,0.75,0.6,0.5874603174603175,0.20533351984363923,20
0.07343716621398926,0.005885071923832399,0.009337043762207032,0.000947767677218137,0.8,0.01,4,100,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 4, 'n_estimators': 100, 'subsample': 0.8}",0.2857142857142857,0.4444444444444444,0.8571428571428571,0.5714285714285714,0.6666666666666666,0.5650793650793651,0.19404072114204604,36
0.06512346267700195,0.008769993351924483,0.008198785781860351,0.0013241750059847293,0.8,0.01,4,100,0.9,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 4, 'n_estimators': 100, 'subsample': 0.9}",0.2857142857142857,0.5,0.8571428571428571,0.5714285714285714,0.6666666666666666,0.5761904761904761,0.1883211422217637,32
0.14658875465393068,0.013316227222292571,0.00851597785949707,0.0006718531425703302,0.8,0.01,4,300,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 4, 'n_estimators': 300, 'subsample': 0.8}",0.2857142857142857,0.5,0.8571428571428571,0.5714285714285714,0.6,0.562857142857143,0.1837478307521546,38
0.1379218578338623,0.010082392413647103,0.008132028579711913,0.0011243518614182596,0.8,0.01,4,300,0.9,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 4, 'n_estimators': 300, 'subsample': 0.9}",0.2857142857142857,0.4444444444444444,0.8571428571428571,0.5714285714285714,0.6,0.5517460317460318,0.18882245063403258,62
0.05884113311767578,0.0026620193573972297,0.008209419250488282,0.00035683271383983643,0.8,0.01,6,100,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 6, 'n_estimators': 100, 'subsample': 0.8}",0.2857142857142857,0.4444444444444444,0.8571428571428571,0.5714285714285714,0.6666666666666666,0.5650793650793651,0.19404072114204604,36
0.05810422897338867,0.005123479754811361,0.008062362670898438,0.000539554087140023,0.8,0.01,6,100,0.9,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 6, 'n_estimators': 100, 'subsample': 0.9}",0.2857142857142857,0.5,0.8571428571428571,0.5714285714285714,0.6666666666666666,0.5761904761904761,0.1883211422217637,32
0.1556734561920166,0.01667936472186348,0.009241676330566407,0.0010401840201462163,0.8,0.01,6,300,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 6, 'n_estimators': 300, 'subsample': 0.8}",0.2857142857142857,0.5,0.8571428571428571,0.5714285714285714,0.6,0.562857142857143,0.1837478307521546,38
0.15586538314819337,0.007293549034108602,0.0075076580047607425,0.0012619998984177688,0.8,0.01,6,300,0.9,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 6, 'n_estimators': 300, 'subsample': 0.9}",0.2857142857142857,0.4444444444444444,0.8571428571428571,0.75,0.6,0.5874603174603175,0.20533351984363923,20
0.0603548526763916,0.010620953279510422,0.009090280532836914,0.0007648424406474297,0.8,0.05,3,100,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 100, 'subsample': 0.8}",0.25,0.5,0.8571428571428571,0.5714285714285714,0.6,0.5557142857142858,0.1947473507194511,47
0.04620194435119629,0.0039004419417562786,0.007868528366088867,0.0010153390138844705,0.8,0.05,3,100,0.9,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 100, 'subsample': 0.9}",0.4444444444444444,0.5,0.8571428571428571,0.75,0.6,0.6303174603174603,0.15376881208052917,3
0.11995220184326172,0.009990672526471397,0.008310365676879882,0.0012608167736072279,0.8,0.05,3,300,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 300, 'subsample': 0.8}",0.2222222222222222,0.5,0.8571428571428571,0.5714285714285714,0.6,0.5501587301587302,0.20358490317111863,66
0.11621317863464356,0.006165918441055643,0.00878596305847168,0.0005347336594434782,0.8,0.05,3,300,0.9,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 300, 'subsample': 0.9}",0.4,0.5,0.8571428571428571,0.5714285714285714,0.6,0.5857142857142856,0.15226185822256258,23
0.05192446708679199,0.004437905361039968,0.0075951099395751955,0.0010116823228120213,0.8,0.05,4,100,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 4, 'n_estimators': 100, 'subsample': 0.8}",0.25,0.5,0.8571428571428571,0.5714285714285714,0.6,0.5557142857142858,0.1947473507194511,47
0.05358777046203613,0.0023587387223458814,0.007768392562866211,0.0009194583121848398,0.8,0.05,4,100,0.9,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 4, 'n_estimators': 100, 'subsample': 0.9}",0.25,0.5,0.8571428571428571,0.75,0.6,0.5914285714285714,0.21012144204760078,14
0.11912755966186524,0.006969561321188375,0.008110952377319337,0.0015948678871863726,0.8,0.05,4,300,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 4, 'n_estimators': 300, 'subsample': 0.8}",0.2222222222222222,0.5,0.8571428571428571,0.5714285714285714,0.6,0.5501587301587302,0.20358490317111863,66
0.18348331451416017,0.12532004901676988,0.008172702789306641,0.0009493207192743914,0.8,0.05,4,300,0.9,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 4, 'n_estimators': 300, 'subsample': 0.9}",0.2222222222222222,0.5,0.8571428571428571,0.75,0.6,0.5858730158730159,0.21924444802990453,22
0.06461448669433593,0.011785542421215779,0.008012723922729493,0.0007311399424550511,0.8,0.05,6,100,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 6, 'n_estimators': 100, 'subsample': 0.8}",0.25,0.5,0.8571428571428571,0.5714285714285714,0.6,0.5557142857142858,0.1947473507194511,47
0.05302824974060059,0.0035701597369622935,0.006680345535278321,0.0013248933492121739,0.8,0.05,6,100,0.9,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 6, 'n_estimators': 100, 'subsample': 0.9}",0.25,0.5,0.8571428571428571,0.75,0.6,0.5914285714285714,0.21012144204760078,14
0.11941003799438477,0.016267367711848026,0.00824437141418457,0.0016825635896797302,0.8,0.05,6,300,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 6, 'n_estimators': 300, 'subsample': 0.8}",0.2222222222222222,0.5,0.8571428571428571,0.5714285714285714,0.6,0.5501587301587302,0.20358490317111863,66
0.13630027770996095,0.006976123269093445,0.008602046966552734,0.0006002750431909833,0.8,0.05,6,300,0.9,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 6, 'n_estimators': 300, 'subsample': 0.9}",0.25,0.5,0.8571428571428571,0.75,0.6,0.5914285714285714,0.21012144204760078,14
0.04374165534973144,0.005150901538270783,0.007967615127563476,0.0010054644400241117,0.8,0.1,3,100,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 100, 'subsample': 0.8}",0.2222222222222222,0.5,0.8571428571428571,0.5714285714285714,0.6,0.5501587301587302,0.20358490317111863,66
0.056125974655151366,0.00557649815891746,0.008026599884033203,0.0005622206947830548,0.8,0.1,3,100,0.9,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 100, 'subsample': 0.9}",0.4,0.5,0.8571428571428571,0.75,0.6,0.6214285714285714,0.16512209459199872,5
0.11059761047363281,0.00591725466269879,0.008016157150268554,0.0011114323834951207,0.8,0.1,3,300,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 300, 'subsample': 0.8}",0.4,0.5,1.0,0.6666666666666666,0.6,0.6333333333333333,0.20439612955674524,2
0.11715011596679688,0.009979106896564045,0.008865642547607421,0.0006002413268146692,0.8,0.1,3,300,0.9,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 300, 'subsample': 0.9}",0.4,0.5,0.8571428571428571,0.75,0.6,0.6214285714285714,0.16512209459199872,5
0.05020084381103516,0.00840750958560335,0.007369422912597656,0.0009433705605150172,0.8,0.1,4,100,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 4, 'n_estimators': 100, 'subsample': 0.8}",0.2222222222222222,0.5,1.0,0.5714285714285714,0.6,0.5787301587301588,0.2495076532594169,29
0.051752901077270506,0.001707585592009741,0.008404016494750977,0.00040584943651085145,0.8,0.1,4,100,0.9,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 4, 'n_estimators': 100, 'subsample': 0.9}",0.4,0.5,0.8571428571428571,0.75,0.6,0.6214285714285714,0.16512209459199872,5
0.11016283035278321,0.008491060412833644,0.009070587158203126,8.124238938233464e-05,0.8,0.1,4,300,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 4, 'n_estimators': 300, 'subsample': 0.8}",0.4444444444444444,0.5,1.0,0.5,0.6,0.6088888888888889,0.2018922827330468,9
0.11768736839294433,0.007566124965442378,0.008481884002685547,0.0004492317158477356,0.8,0.1,4,300,0.9,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 4, 'n_estimators': 300, 'subsample': 0.9}",0.4,0.5,0.8571428571428571,0.75,0.6,0.6214285714285714,0.16512209459199872,5
0.056497955322265626,0.007653372330512939,0.008502435684204102,0.0006280115613317121,0.8,0.1,6,100,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 100, 'subsample': 0.8}",0.2222222222222222,0.5,0.8571428571428571,0.5714285714285714,0.6,0.5501587301587302,0.20358490317111863,66
0.05451040267944336,0.001453203922768313,0.008230972290039062,0.0002862168082901025,0.8,0.1,6,100,0.9,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 100, 'subsample': 0.9}",0.4,0.5,0.8571428571428571,0.5714285714285714,0.6,0.5857142857142856,0.15226185822256258,23
0.11130099296569824,0.014130336203921163,0.008000993728637695,0.0010496530117446025,0.8,0.1,6,300,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 300, 'subsample': 0.8}",0.4444444444444444,0.5,0.8571428571428571,0.5,0.6,0.5803174603174603,0.14722973069459552,27
0.11667928695678711,0.01682111974625761,0.007319355010986328,0.0015114019293210946,0.8,0.1,6,300,0.9,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 300, 'subsample': 0.9}",0.4,0.5,0.8571428571428571,0.5714285714285714,0.6,0.5857142857142856,0.15226185822256258,23
0.048492717742919925,0.0016147259230819408,0.00870966911315918,0.0006125674406219481,0.9,0.01,3,100,0.8,"{'colsample_bytree': 0.9, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100, 'subsample': 0.8}",0.2857142857142857,0.4,0.8571428571428571,0.5714285714285714,0.6666666666666666,0.5561904761904761,0.20028098176144632,43
0.04822883605957031,0.006700694008227856,0.008434391021728516,0.0005389450498714467,0.9,0.01,3,100,0.9,"{'colsample_bytree': 0.9, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100, 'subsample': 0.9}",0.5,0.4444444444444444,0.8571428571428571,0.5714285714285714,0.6666666666666666,0.6079365079365078,0.1450970778670024,10
0.12212305068969727,0.011720435761203133,0.008213186264038086,0.0011468164100631511,0.9,0.01,3,300,0.8,"{'colsample_bytree': 0.9, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 300, 'subsample': 0.8}",0.2857142857142857,0.5,0.8571428571428571,0.5714285714285714,0.6,0.562857142857143,0.1837478307521546,38
0.1266869068145752,0.0038233417602156795,0.008508777618408203,0.00028743107895627283,0.9,0.01,3,300,0.9,"{'colsample_bytree': 0.9, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 300, 'subsample': 0.9}",0.2857142857142857,0.4444444444444444,0.8571428571428571,0.5714285714285714,0.6,0.5517460317460318,0.18882245063403258,62
0.04793152809143066,0.005752301582890604,0.006599855422973633,0.0012009789336098564,0.9,0.01,4,100,0.8,"{'colsample_bytree': 0.9, 'learning_rate': 0.01, 'max_depth': 4, 'n_estimators': 100, 'subsample': 0.8}",0.2857142857142857,0.4,0.8571428571428571,0.5714285714285714,0.6666666666666666,0.5561904761904761,0.20028098176144632,43
0.047966814041137694,0.0047307965741332225,0.007169198989868164,0.0013054166528454134,0.9,0.01,4,100,0.9,"{'colsample_bytree': 0.9, 'learning_rate': 0.01, 'max_depth': 4, 'n_estimators': 100, 'subsample': 0.9}",0.5,0.4444444444444444,0.8571428571428571,0.75,0.6666666666666666,0.6436507936507936,0.1534519242997708,1
0.14017877578735352,0.01328164138614027,0.007970571517944336,0.0010323244315700228,0.9,0.01,4,300,0.8,"{'colsample_bytree': 0.9, 'learning_rate': 0.01, 'max_depth': 4, 'n_estimators': 300, 'subsample': 0.8}",0.25,0.5,0.8571428571428571,0.5714285714285714,0.6,0.5557142857142858,0.1947473507194511,47
0.13854055404663085,0.010953874544177273,0.008215522766113282,0.0002829030535035818,0.9,0.01,4,300,0.9,"{'colsample_bytree': 0.9, 'learning_rate': 0.01, 'max_depth': 4, 'n_estimators': 300, 'subsample': 0.9}",0.2857142857142857,0.4444444444444444,0.8571428571428571,0.5714285714285714,0.6,0.5517460317460318,0.18882245063403258,62
0.05695672035217285,0.0023550900468591127,0.008011722564697265,2.4453239746527214e-05,0.9,0.01,6,100,0.8,"{'colsample_bytree': 0.9, 'learning_rate': 0.01, 'max_depth': 6, 'n_estimators': 100, 'subsample': 0.8}",0.2857142857142857,0.4,0.8571428571428571,0.5714285714285714,0.6666666666666666,0.5561904761904761,0.20028098176144632,43
0.05925860404968262,0.0032679791994725425,0.00794997215270996,0.0005611053001967312,0.9,0.01,6,100,0.9,"{'colsample_bytree': 0.9, 'learning_rate': 0.01, 'max_depth': 6, 'n_estimators': 100, 'subsample': 0.9}",0.2857142857142857,0.5,0.8571428571428571,0.5714285714285714,0.6666666666666666,0.5761904761904761,0.1883211422217637,32
0.14571480751037597,0.014266455246681077,0.007407999038696289,0.0012179170569024394,0.9,0.01,6,300,0.8,"{'colsample_bytree': 0.9, 'learning_rate': 0.01, 'max_depth': 6, 'n_estimators': 300, 'subsample': 0.8}",0.25,0.5,0.8571428571428571,0.5714285714285714,0.6,0.5557142857142858,0.1947473507194511,47
0.1510396957397461,0.004667011158806685,0.007749414443969727,0.0009237264346234998,0.9,0.01,6,300,0.9,"{'colsample_bytree': 0.9, 'learning_rate': 0.01, 'max_depth': 6, 'n_estimators': 300, 'subsample': 0.9}",0.2857142857142857,0.4444444444444444,0.8571428571428571,0.5714285714285714,0.6,0.5517460317460318,0.18882245063403258,62
0.04870858192443848,0.003498728337582299,0.008666133880615235,0.00041826742703277844,0.9,0.05,3,100,0.8,"{'colsample_bytree': 0.9, 'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 100, 'subsample': 0.8}",0.2857142857142857,0.5,0.8571428571428571,0.5714285714285714,0.6,0.562857142857143,0.1837478307521546,38
0.048229217529296875,0.004007153816543135,0.008224582672119141,0.0008625719225574366,0.9,0.05,3,100,0.9,"{'colsample_bytree': 0.9, 'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 100, 'subsample': 0.9}",0.25,0.5,0.8571428571428571,0.5714285714285714,0.6,0.5557142857142858,0.1947473507194511,47
