mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_min_samples_leaf,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.07671360969543457,0.002134060909623179,0.007553005218505859,0.000547995850939465,,1,100,"{'max_depth': None, 'min_samples_leaf': 1, 'n_estimators': 100}",0.0,0.0,0.8571428571428571,0.5714285714285714,0.75,0.43571428571428567,0.3672845752052126,23
0.21809802055358887,0.003911336493094239,0.017696714401245116,0.0004956261708385317,,1,300,"{'max_depth': None, 'min_samples_leaf': 1, 'n_estimators': 300}",0.0,0.0,0.8571428571428571,0.5714285714285714,0.75,0.43571428571428567,0.3672845752052126,23
0.3795468330383301,0.008020804675712935,0.02991623878479004,0.001437239271016555,,1,500,"{'max_depth': None, 'min_samples_leaf': 1, 'n_estimators': 500}",0.0,0.2857142857142857,0.8571428571428571,0.5714285714285714,0.75,0.4928571428571429,0.3133101742780187,20
0.07994928359985351,0.003639699342318367,0.007864618301391601,0.0007749565446311106,,2,100,"{'max_depth': None, 'min_samples_leaf': 2, 'n_estimators': 100}",0.2857142857142857,0.25,0.8571428571428571,0.5714285714285714,0.75,0.5428571428571429,0.24264696787804327,11
0.24805521965026855,0.008461114603522208,0.020235395431518553,0.001487129518919556,,2,300,"{'max_depth': None, 'min_samples_leaf': 2, 'n_estimators': 300}",0.25,0.0,0.8571428571428571,0.75,0.75,0.5214285714285715,0.3354862447376394,17
0.43589282035827637,0.05060331036644399,0.03518242835998535,0.009669581559166912,,2,500,"{'max_depth': None, 'min_samples_leaf': 2, 'n_estimators': 500}",0.25,0.2857142857142857,0.8571428571428571,0.75,0.75,0.5785714285714285,0.2569443678372135,4
0.0740656852722168,0.00548873912099702,0.008273696899414063,0.006655148906371474,,4,100,"{'max_depth': None, 'min_samples_leaf': 4, 'n_estimators': 100}",0.4444444444444444,0.25,0.8571428571428571,0.75,0.6666666666666666,0.5936507936507935,0.21888940686196295,1
0.19567255973815917,0.006360411824108497,0.018720483779907225,0.006274699548048298,,4,300,"{'max_depth': None, 'min_samples_leaf': 4, 'n_estimators': 300}",0.4444444444444444,0.0,0.8571428571428571,0.75,0.6666666666666666,0.5436507936507936,0.303772368396899,8
0.32932534217834475,0.019844780230695896,0.0246737003326416,0.009517994926003826,,4,500,"{'max_depth': None, 'min_samples_leaf': 4, 'n_estimators': 500}",0.4444444444444444,0.0,0.8571428571428571,0.6666666666666666,0.6666666666666666,0.5269841269841269,0.2941265986514405,14
0.07874593734741211,0.005376765288389431,0.00678253173828125,0.003923242877626593,5,1,100,"{'max_depth': 5, 'min_samples_leaf': 1, 'n_estimators': 100}",0.0,0.0,0.8571428571428571,0.5714285714285714,0.75,0.43571428571428567,0.3672845752052126,23
0.20360178947448732,0.008375463322772489,0.015157079696655274,0.0071428550505577785,5,1,300,"{'max_depth': 5, 'min_samples_leaf': 1, 'n_estimators': 300}",0.2857142857142857,0.0,0.8571428571428571,0.5714285714285714,0.75,0.4928571428571429,0.3133101742780187,20
0.3343778133392334,0.00617140380666271,0.024700117111206055,0.0072422124873531245,5,1,500,"{'max_depth': 5, 'min_samples_leaf': 1, 'n_estimators': 500}",0.2857142857142857,0.2857142857142857,0.8571428571428571,0.5714285714285714,0.75,0.55,0.23430313524081034,7
0.09829339981079102,0.03365840278188159,0.007927751541137696,0.0013802402359758725,5,2,100,"{'max_depth': 5, 'min_samples_leaf': 2, 'n_estimators': 100}",0.2857142857142857,0.2857142857142857,0.8571428571428571,0.5,0.75,0.5357142857142857,0.23473823893078546,13
0.23510403633117677,0.027777649020821735,0.014664936065673827,0.0058705120877037085,5,2,300,"{'max_depth': 5, 'min_samples_leaf': 2, 'n_estimators': 300}",0.25,0.0,0.8571428571428571,0.75,0.75,0.5214285714285715,0.3354862447376394,17
0.3933495044708252,0.06905044154122689,0.02441573143005371,0.009023346788947024,5,2,500,"{'max_depth': 5, 'min_samples_leaf': 2, 'n_estimators': 500}",0.25,0.2857142857142857,0.8571428571428571,0.75,0.75,0.5785714285714285,0.2569443678372135,4
