mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_min_samples_leaf,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
0.1992731809616089,0.005223346997796397,0.021088695526123045,0.0011005471039673691,,1,100,"{'max_depth': None, 'min_samples_leaf': 1, 'n_estimators': 100}",0.6666666666666666,0.0,0.4,0.5,0.5,0.5714285714285714,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5304761904761905,0.19867132350840294,20
0.5811515331268311,0.01540370606695936,0.05045924186706543,0.0037240884401606106,,1,300,"{'max_depth': None, 'min_samples_leaf': 1, 'n_estimators': 300}",0.6666666666666666,0.0,0.5,0.5,0.5,0.3333333333333333,0.6666666666666666,1.0,0.6666666666666666,0.0,0.4833333333333333,0.29297326385411576,22
0.9761850833892822,0.016788263360188484,0.08004536628723144,0.0023808881943230224,,1,500,"{'max_depth': None, 'min_samples_leaf': 1, 'n_estimators': 500}",0.6666666666666666,0.0,0.5,0.5,0.5,0.3333333333333333,0.6666666666666666,1.0,0.6666666666666666,0.0,0.4833333333333333,0.29297326385411576,22
0.19439895153045655,0.00422259352627787,0.021215224266052247,0.0005171626804112398,,2,100,"{'max_depth': None, 'min_samples_leaf': 2, 'n_estimators': 100}",0.6666666666666666,0.6666666666666666,0.4,0.5,0.5,0.5714285714285714,0.4,1.0,0.6666666666666666,0.0,0.5371428571428571,0.24385230279460413,18
0.5870225906372071,0.011387678896680036,0.050294232368469236,0.0012788167723792904,,2,300,"{'max_depth': None, 'min_samples_leaf': 2, 'n_estimators': 300}",1.0,0.0,0.4,0.5,0.5,0.3333333333333333,0.4,1.0,0.6666666666666666,0.6666666666666666,0.5466666666666666,0.2883670500517622,16
1.0031148433685302,0.03424060072319755,0.080898118019104,0.007841795499311468,,2,500,"{'max_depth': None, 'min_samples_leaf': 2, 'n_estimators': 500}",1.0,0.0,0.5,0.5,0.5,0.5714285714285714,0.4,1.0,0.6666666666666666,0.6666666666666666,0.5804761904761906,0.2749351603626355,12
0.19938397407531738,0.007503252757281144,0.023835062980651855,0.006715357115650356,,4,100,"{'max_depth': None, 'min_samples_leaf': 4, 'n_estimators': 100}",1.0,0.6666666666666666,0.3333333333333333,0.5,0.5,0.5714285714285714,0.5,1.0,0.6666666666666666,0.6666666666666666,0.6404761904761905,0.20466498259849145,1
0.5651625871658326,0.018051934674779023,0.04939887523651123,0.0036264597833868895,,4,300,"{'max_depth': None, 'min_samples_leaf': 4, 'n_estimators': 300}",1.0,0.6666666666666666,0.4,0.5,0.5,0.5714285714285714,0.4,1.0,0.6666666666666666,0.6666666666666666,0.6371428571428572,0.20502530124269996,4
0.8969126462936401,0.01748366080121733,0.07407202720642089,0.004729038878951758,,4,500,"{'max_depth': None, 'min_samples_leaf': 4, 'n_estimators': 500}",1.0,0.6666666666666666,0.4,0.5,0.5,0.5714285714285714,0.4,1.0,0.6666666666666666,0.6666666666666666,0.6371428571428572,0.20502530124269996,4
0.17863912582397462,0.019013082813294006,0.02054159641265869,0.005455816780769007,5,1,100,"{'max_depth': 5, 'min_samples_leaf': 1, 'n_estimators': 100}",0.6666666666666666,0.6666666666666666,0.4,0.5,0.5,0.5714285714285714,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5971428571428572,0.0934886947947278,11
0.5356553554534912,0.010998734156687257,0.04780027866363525,0.008020078708040628,5,1,300,"{'max_depth': 5, 'min_samples_leaf': 1, 'n_estimators': 300}",0.6666666666666666,0.0,0.5,0.5,0.5,0.3333333333333333,0.6666666666666666,1.0,0.6666666666666666,0.0,0.4833333333333333,0.29297326385411576,22
0.9656860828399658,0.2096955494696288,0.0735253095626831,0.03280465803319863,5,1,500,"{'max_depth': 5, 'min_samples_leaf': 1, 'n_estimators': 500}",0.6666666666666666,0.0,0.5,0.5,0.5,0.3333333333333333,0.5,1.0,0.6666666666666666,0.0,0.4666666666666666,0.28674417556808757,27
0.17815985679626464,0.0067056042884081814,0.02128467559814453,0.006052489396592903,5,2,100,"{'max_depth': 5, 'min_samples_leaf': 2, 'n_estimators': 100}",0.6666666666666666,0.6666666666666666,0.4,0.5,0.5,0.5714285714285714,0.4,1.0,0.6666666666666666,0.6666666666666666,0.6038095238095239,0.1668679057194153,10
0.5251533031463623,0.009397704940590142,0.04725425243377686,0.007943565614558001,5,2,300,"{'max_depth': 5, 'min_samples_leaf': 2, 'n_estimators': 300}",1.0,0.0,0.4,0.5,0.5,0.3333333333333333,0.6666666666666666,1.0,0.6666666666666666,0.6666666666666666,0.5733333333333335,0.28589042189855424,14
0.9155198097229004,0.04075571151818551,0.07800064086914063,0.00812500037009997,5,2,500,"{'max_depth': 5, 'min_samples_leaf': 2, 'n_estimators': 500}",1.0,0.0,0.4,0.5,0.5,0.5714285714285714,0.4,1.0,0.6666666666666666,0.6666666666666666,0.5704761904761906,0.27946174373812227,15
0.1908926010131836,0.011146988663053916,0.020943069458007814,0.005192092415595362,5,4,100,"{'max_depth': 5, 'min_samples_leaf': 4, 'n_estimators': 100}",1.0,0.6666666666666666,0.3333333333333333,0.5,0.5,0.5714285714285714,0.5,1.0,0.6666666666666666,0.6666666666666666,0.6404761904761905,0.20466498259849145,1
0.5494016170501709,0.03126587644631069,0.05107760429382324,0.0063073571682214806,5,4,300,"{'max_depth': 5, 'min_samples_leaf': 4, 'n_estimators': 300}",1.0,0.6666666666666666,0.4,0.5,0.5,0.5714285714285714,0.4,1.0,0.6666666666666666,0.6666666666666666,0.6371428571428572,0.20502530124269996,4
0.8681037425994873,0.13374898310426372,0.08435678482055664,0.01924255824455157,5,4,500,"{'max_depth': 5, 'min_samples_leaf': 4, 'n_estimators': 500}",1.0,0.6666666666666666,0.4,0.5,0.5,0.5714285714285714,0.4,1.0,0.6666666666666666,0.6666666666666666,0.6371428571428572,0.20502530124269996,4
0.18153698444366456,0.010808239427479285,0.02276620864868164,0.005680620232919747,10,1,100,"{'max_depth': 10, 'min_samples_leaf': 1, 'n_estimators': 100}",0.6666666666666666,0.0,0.4,0.5,0.5,0.5714285714285714,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5304761904761905,0.19867132350840294,20
0.6466700792312622,0.13193822716103495,0.06081550121307373,0.02550894636723091,10,1,300,"{'max_depth': 10, 'min_samples_leaf': 1, 'n_estimators': 300}",0.6666666666666666,0.0,0.5,0.5,0.5,0.3333333333333333,0.6666666666666666,1.0,0.6666666666666666,0.0,0.4833333333333333,0.29297326385411576,22
