mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_min_samples_leaf,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.1042978286743164,0.036851545691359976,0.009606266021728515,0.002548720413198725,,1,100,"{'max_depth': None, 'min_samples_leaf': 1, 'n_estimators': 100}",0.5,0.5,0.8571428571428571,0.8571428571428571,0.75,0.6928571428571428,0.1622545241657221,15
0.2892449855804443,0.0606645172818384,0.021056365966796876,0.0025973907463709505,,1,300,"{'max_depth': None, 'min_samples_leaf': 1, 'n_estimators': 300}",0.5714285714285714,0.2857142857142857,0.8571428571428571,0.6666666666666666,0.75,0.6261904761904762,0.19453998300776662,24
0.4023707866668701,0.007538210869995571,0.030588483810424803,0.00112264348116267,,1,500,"{'max_depth': None, 'min_samples_leaf': 1, 'n_estimators': 500}",0.5714285714285714,0.2857142857142857,0.8571428571428571,0.6666666666666666,0.75,0.6261904761904762,0.19453998300776662,24
0.07756214141845703,0.0014620447285638074,0.007880258560180663,0.0007412006759131519,,2,100,"{'max_depth': None, 'min_samples_leaf': 2, 'n_estimators': 100}",0.6,0.6666666666666666,0.8571428571428571,0.8571428571428571,0.75,0.7461904761904762,0.10230451188450798,2
0.23906826972961426,0.0016826272128619827,0.021096277236938476,0.0019106744761573434,,2,300,"{'max_depth': None, 'min_samples_leaf': 2, 'n_estimators': 300}",0.5714285714285714,0.5,0.8571428571428571,0.5714285714285714,0.75,0.65,0.1324802642213672,20
0.39821524620056153,0.006775151125479164,0.0315953254699707,0.0011216245351246715,,2,500,"{'max_depth': None, 'min_samples_leaf': 2, 'n_estimators': 500}",0.5714285714285714,0.5,0.8571428571428571,0.5714285714285714,0.75,0.65,0.1324802642213672,20
0.0791395664215088,0.0007216192506434621,0.00855560302734375,0.0006054868095775196,,4,100,"{'max_depth': None, 'min_samples_leaf': 4, 'n_estimators': 100}",0.6,0.6,0.8571428571428571,0.8888888888888888,0.75,0.7392063492063492,0.12262724069818128,4
0.23260498046875,0.010837869932680063,0.01923537254333496,0.0003505727736230963,,4,300,"{'max_depth': None, 'min_samples_leaf': 4, 'n_estimators': 300}",0.5714285714285714,0.5,0.8571428571428571,0.8888888888888888,0.8,0.7234920634920634,0.1575716452322699,7
0.3869953632354736,0.006992907021817097,0.030515670776367188,0.0008666518695416126,,4,500,"{'max_depth': None, 'min_samples_leaf': 4, 'n_estimators': 500}",0.5,0.5,0.8571428571428571,0.8888888888888888,0.8,0.7092063492063492,0.1731756943500751,12
0.08224573135375976,0.0018636258723376787,0.00825810432434082,0.00032587516782461124,5,1,100,"{'max_depth': 5, 'min_samples_leaf': 1, 'n_estimators': 100}",0.6,0.5,0.8571428571428571,0.8571428571428571,0.75,0.7128571428571429,0.14216977490999688,11
0.2387291431427002,0.004514111673965675,0.020998716354370117,0.002011351603921947,5,1,300,"{'max_depth': 5, 'min_samples_leaf': 1, 'n_estimators': 300}",0.5714285714285714,0.5,0.75,0.8571428571428571,0.75,0.6857142857142857,0.1305404777321219,17
0.38752098083496095,0.019709639208061142,0.03014349937438965,0.002214344623199952,5,1,500,"{'max_depth': 5, 'min_samples_leaf': 1, 'n_estimators': 500}",0.5714285714285714,0.2857142857142857,0.8571428571428571,0.8571428571428571,0.75,0.6642857142857143,0.21618208500602223,19
0.08141975402832032,0.0034461925449075885,0.008069038391113281,0.0006558113422494863,5,2,100,"{'max_depth': 5, 'min_samples_leaf': 2, 'n_estimators': 100}",0.6666666666666666,0.6666666666666666,0.8571428571428571,0.8571428571428571,0.75,0.7595238095238095,0.08531653746270912,1
0.23010902404785155,0.014735022008926976,0.018510055541992188,0.0013516637100276863,5,2,300,"{'max_depth': 5, 'min_samples_leaf': 2, 'n_estimators': 300}",0.5714285714285714,0.5,0.8571428571428571,0.75,0.75,0.6857142857142857,0.13054047773212188,17
0.37322583198547366,0.009524604125981074,0.029700326919555663,0.0012794137422560306,5,2,500,"{'max_depth': 5, 'min_samples_leaf': 2, 'n_estimators': 500}",0.5714285714285714,0.6666666666666666,0.8571428571428571,0.75,0.75,0.719047619047619,0.0954164995691137,10
0.07771782875061035,0.002671219775604134,0.007929134368896484,0.00028740184009132296,5,4,100,"{'max_depth': 5, 'min_samples_leaf': 4, 'n_estimators': 100}",0.6,0.6,0.8571428571428571,0.8888888888888888,0.75,0.7392063492063492,0.12262724069818128,4
0.2482922077178955,0.003602698479951633,0.020488214492797852,0.0005227039991503616,5,4,300,"{'max_depth': 5, 'min_samples_leaf': 4, 'n_estimators': 300}",0.5714285714285714,0.5,0.8571428571428571,0.8888888888888888,0.8,0.7234920634920634,0.1575716452322699,7
0.3940056324005127,0.009790729840494701,0.031118345260620118,0.0009624148538663719,5,4,500,"{'max_depth': 5, 'min_samples_leaf': 4, 'n_estimators': 500}",0.5,0.5,0.8571428571428571,0.8888888888888888,0.8,0.7092063492063492,0.1731756943500751,12
0.07945590019226074,0.0030754496641320103,0.007998847961425781,0.0005283983267342165,10,1,100,"{'max_depth': 10, 'min_samples_leaf': 1, 'n_estimators': 100}",0.5,0.5,0.8571428571428571,0.8571428571428571,0.75,0.6928571428571428,0.1622545241657221,15
0.23814020156860352,0.011920128439346504,0.019413852691650392,0.000898158737518307,10,1,300,"{'max_depth': 10, 'min_samples_leaf': 1, 'n_estimators': 300}",0.5714285714285714,0.2857142857142857,0.8571428571428571,0.6666666666666666,0.75,0.6261904761904762,0.19453998300776662,24
0.3721165180206299,0.008814407535353534,0.028951501846313475,0.0006957747233367641,10,1,500,"{'max_depth': 10, 'min_samples_leaf': 1, 'n_estimators': 500}",0.5714285714285714,0.2857142857142857,0.8571428571428571,0.6666666666666666,0.75,0.6261904761904762,0.19453998300776662,24
0.12027492523193359,0.029847432927733057,0.014102029800415038,0.007189828721343973,10,2,100,"{'max_depth': 10, 'min_samples_leaf': 2, 'n_estimators': 100}",0.6,0.6666666666666666,0.8571428571428571,0.8571428571428571,0.75,0.7461904761904762,0.10230451188450798,2
0.2574453353881836,0.008611413015858126,0.021393442153930665,0.0008384854684819171,10,2,300,"{'max_depth': 10, 'min_samples_leaf': 2, 'n_estimators': 300}",0.5714285714285714,0.5,0.8571428571428571,0.5714285714285714,0.75,0.65,0.1324802642213672,20
0.4330028533935547,0.018990857608761163,0.03114628791809082,0.0017868292459736698,10,2,500,"{'max_depth': 10, 'min_samples_leaf': 2, 'n_estimators': 500}",0.5714285714285714,0.5,0.8571428571428571,0.5714285714285714,0.75,0.65,0.1324802642213672,20
0.09528841972351074,0.007990100722295973,0.010184144973754883,0.0012550725087155476,10,4,100,"{'max_depth': 10, 'min_samples_leaf': 4, 'n_estimators': 100}",0.6,0.6,0.8571428571428571,0.8888888888888888,0.75,0.7392063492063492,0.12262724069818128,4
0.2299199104309082,0.008059235348814205,0.018371105194091797,0.0009652390588389439,10,4,300,"{'max_depth': 10, 'min_samples_leaf': 4, 'n_estimators': 300}",0.5714285714285714,0.5,0.8571428571428571,0.8888888888888888,0.8,0.7234920634920634,0.1575716452322699,7
0.36815967559814455,0.016768809443053905,0.029771137237548827,0.0018652592132076874,10,4,500,"{'max_depth': 10, 'min_samples_leaf': 4, 'n_estimators': 500}",0.5,0.5,0.8571428571428571,0.8888888888888888,0.8,0.7092063492063492,0.1731756943500751,12
